City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,cape town,-33.9258,18.4232,22.99,89,75,6.17,ZA,1675743815
1,vargashi,55.3556,65.8467,-17.21,99,95,2.03,RU,1675743815
2,naze,28.3667,129.4833,21.51,78,48,8.03,JP,1675743816
3,atuona,-9.8,-139.0333,25.84,81,28,7.28,PF,1675743816
4,tagusao,9.1924,117.8141,27.6,77,47,2.88,PH,1675743816
5,mahebourg,-20.4081,57.7,27.92,78,75,4.12,MU,1675743817
6,saldanha,-33.0117,17.9442,18.47,95,99,6.5,ZA,1675743817
7,baghdad,33.3406,44.4009,10.95,66,100,3.6,IQ,1675743626
8,catamarca,-28.4696,-65.7852,28.76,40,0,0.89,AR,1675743660
9,atherton,53.5237,-2.4935,4.12,87,99,1.75,GB,1675743819
10,avarua,-21.2078,-159.775,28.03,78,20,4.12,CK,1675743819
11,pangnirtung,66.1451,-65.7125,-36.98,91,78,2.14,CA,1675743729
12,vaini,-21.2,-175.2,27.09,89,75,3.6,TO,1675743820
13,mataura,-46.1927,168.8643,15.27,84,87,4.62,NZ,1675743822
14,punta arenas,-53.15,-70.9167,11.06,87,100,2.57,CL,1675743823
15,nishihara,26.1842,127.7558,21.81,83,75,4.63,JP,1675743733
16,bluff,-46.6,168.3333,15.45,68,63,13.29,NZ,1675743823
17,olafsvik,64.8945,-23.7142,0.41,65,79,16.85,IS,1675743823
18,gamba,-2.65,10.0,25.26,87,84,2.36,GA,1675743824
19,atar,20.5169,-13.0499,14.37,31,0,4.53,MR,1675743550
20,dwarka,22.2394,68.9678,21.95,70,3,2.84,IN,1675743824
21,hobart,-42.8794,147.3294,20.15,55,0,9.77,AU,1675743758
22,grindavik,63.8424,-22.4338,1.26,64,75,12.86,IS,1675743825
23,busselton,-33.65,115.3333,26.57,48,40,2.01,AU,1675743825
24,gorontalo,0.5412,123.0595,28.88,68,98,1.72,ID,1675743825
25,leningradskiy,69.3833,178.4167,-30.57,97,100,4.08,RU,1675743826
26,ust-nera,64.5667,143.2,-33.96,98,100,0.85,RU,1675743826
27,adrar,20.5022,-10.0711,14.47,26,7,4.38,MR,1675743826
28,khatanga,71.9667,102.5,-41.13,100,84,0.63,RU,1675743827
29,albany,42.6001,-73.9662,-2.98,67,52,2.17,US,1675743804
30,snihurivka,47.0758,32.8052,-3.82,79,99,6.86,UA,1675743827
31,lompoc,34.6391,-120.4579,11.4,62,0,8.75,US,1675743827
32,pevek,69.7008,170.3133,-33.41,99,100,0.77,RU,1675743828
33,marsa matruh,31.3525,27.2453,8.11,87,75,6.17,EG,1675743828
34,chuy,-33.6971,-53.4616,19.72,81,2,1.61,UY,1675743828
